INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('IZHK5F', 17, 'give', 'Season drop appear lose system finish.', 1679.0);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('R00A5I', 55, 'girl', 'Our ten show it goal.', 408.28);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('CZ1Y6J', 81, 'save', 'Cultural cause miss including able Mrs five.', 431.74);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('9ZGF77', 52, 'citizen', 'Quite garden shake chair surface already he decision.', 329.45);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('UVW87W', 50, 'early', 'Serve us bag research whole himself exist.', 1778.86);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('T91OW0', 78, 'unit', 'Ground attention out response.', 554.3);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('K5QUVA', 27, 'fire', 'Might recent animal strong.', 1888.4);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('W4NITE', 88, 'run', 'Maybe my attack same.', 1216.85);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('55VSKQ', 69, 'enjoy', 'Tree reveal top too laugh case address.', 480.32);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('4OJZNA', 18, 'certainly', 'Red mouth information structure century.', 281.44);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('RJN2J5', 15, 'indeed', 'Effort person note employee civil quite how.', 467.8);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('51AJS5', 10, 'experience', 'Recently father its American.', 1339.81);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('7W1YGW', 93, 'possible', 'Box share against of per under need window.', 1600.66);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('C08DUM', 53, 'task', 'Will discover bad vote run heavy Republican.', 594.41);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('GCX54A', 72, 'ready', 'Republican picture pressure age model.', 481.95);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('8II7OR', 57, 'meeting', 'Process face board ability any person.', 1192.55);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('14PW89', 91, 'my', 'Have alone available will phone message small.', 1785.65);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('QT76U9', 11, 'film', 'Along whether challenge institution kitchen whose.', 832.92);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('603QL5', 21, 'back', 'Green half interest.', 1916.11);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('5ONK6K', 46, 'answer', 'Civil middle entire prove.', 767.79);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('H7RJBO', 72, 'former', 'International appear toward without pressure.', 1946.55);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('419WN9', 86, 'state', 'Couple those impact offer by value.', 143.57);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('N2MCCW', 8, 'box', 'Article book can day memory apply picture.', 535.11);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('Q3AFLX', 92, 'big', 'White at difference activity fire against.', 868.69);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('6YJF1F', 8, 'skill', 'Huge crime strategy make pull before.', 1789.02);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('Q1POR5', 35, 'operation', 'Research they discuss chance agree security writer.', 886.95);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('3QQ1M5', 67, 'cut', 'Contain see subject design total instead.', 1133.46);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('GVMW7E', 76, 'office', 'Position major lose edge but however experience floor.', 471.25);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('LJUMZD', 46, 'special', 'Population another apply word read beautiful perform.', 1489.62);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('4GPB0O', 5, 'may', 'Pull plant since indeed.', 1958.39);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('TI2YDH', 80, 'system', 'Prove network couple look actually hope.', 697.5);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('9H132W', 75, 'over', 'Speak system air include.', 902.53);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('5MV4KK', 82, 'travel', 'Hot bag space individual section.', 1540.32);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('OQOLGR', 30, 'realize', 'Interesting house kid take police.', 1850.8);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('B8VLXX', 29, 'letter', 'Bag threat rise system usually yard less finish.', 499.65);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('9NWH0B', 91, 'matter', 'Us collection each action line minute reduce.', 1839.03);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('9WUORU', 59, 'myself', 'Human need bar factor huge turn often.', 1948.01);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('WAZNPJ', 47, 'moment', 'Head child system each war.', 1926.6);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('HGAE7U', 63, 'chair', 'Across military among local.', 79.23);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('E0LF24', 72, 'situation', 'Person mean seem adult daughter rest.', 1666.65);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('KVCE9O', 75, 'give', 'Best trial seven traditional.', 1129.26);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('T4JT1B', 26, 'book', 'Available pick whether my according safe.', 1879.2);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('YJCJRQ', 9, 'surface', 'If positive hold lay land improve.', 1869.09);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('T7YI74', 32, 'direction', 'Father figure upon source easy trade surface.', 454.67);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('FHZJC6', 36, 'standard', 'Bring short treatment consider rest threat knowledge.', 521.76);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('QW4F3U', 40, 'give', 'Shoulder continue billion forget rather move.', 1865.24);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('3IY32A', 38, 'writer', 'Former think yes practice few gas act ability.', 439.2);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('3ZEZON', 27, 'garden', 'Begin music recently marriage when plan left.', 623.94);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('S6HKQO', 60, 'increase', 'Tree pull small behind room.', 1716.3);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('MI6A5I', 21, 'range', 'Simple production guy.', 1948.86);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('XXE0YX', 48, 'while', 'Amount need theory social bar.', 989.07);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('ASBPCK', 74, 'value', 'Season thought loss environmental health.', 1575.89);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('4EO6O6', 42, 'game', 'Move several stage realize.', 752.84);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('X471QX', 58, 'it', 'Summer various officer but particularly box.', 411.96);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('YM4HQ8', 62, 'difference', 'Network out figure financial firm modern reach.', 185.13);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('K6AG81', 66, 'oil', 'Most I right particular.', 1835.04);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('KPWPGS', 49, 'trial', 'Pretty sell operation war never film own.', 1148.12);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('YDYHVQ', 46, 'tonight', 'Allow mind thing onto still.', 1764.08);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('2J99VP', 70, 'movement', 'Realize art because say power box.', 977.85);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('2C8IPJ', 93, 'sound', 'Situation attack eye example trip.', 477.04);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('QNF0C5', 24, 'section', 'Hotel happen food over purpose.', 836.36);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('YDZG7Y', 21, 'Congress', 'Between eight site policy fly trouble.', 884.17);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('TJW37S', 59, 'right', 'Next which its later.', 898.38);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('RG10GX', 80, 'son', 'Power beyond whether loss to.', 334.26);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('EHB2AA', 38, 'test', 'Public future news to tough rock wonder.', 1685.52);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('7UEPCB', 51, 'factor', 'Admit old public guy.', 730.9);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('XUOCX9', 9, 'spend', 'Difference six region easy once.', 1390.29);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('V6L29F', 89, 'traditional', 'Goal save wear fly yard rise late environment.', 121.12);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('AJ9JL1', 43, 'part', 'Us finally work my claim.', 242.33);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('X9UQYT', 33, 'measure', 'Sea ok simple TV.', 1437.83);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('VNBTGZ', 20, 'however', 'Hear between medical material different.', 345.24);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('G50FFY', 75, 'room', 'Purpose carry any.', 1063.67);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('YCWEVD', 66, 'receive', 'Act top its consumer likely attorney.', 212.0);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('XK0UMO', 43, 'form', 'Again wind approach never grow sea Democrat.', 845.97);
