INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('0GBEHM', 23, 'among', 'Reason image her level long new.', 1747.51);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('SHOJ81', 27, 'wish', 'Religious loss along protect bed.', 1035.23);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('X3S46Y', 44, 'matter', 'Step ago war seat network program data.', 488.38);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('S8J8VG', 6, 'mother', 'Take son recent huge.', 1325.24);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('TN1I56', 42, 'at', 'Edge land none concern.', 1166.65);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('F19NXU', 50, 'young', 'Herself way contain executive choice time.', 291.85);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('RCIY53', 21, 'thank', 'Or remain social stage have man cultural.', 349.73);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('DLLXK3', 26, 'bag', 'Know office his certainly food.', 1780.81);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('EGZQZN', 5, 'fund', 'Goal question here people alone.', 892.09);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('YG58C9', 35, 'seven', 'Shoulder week television decide now.', 92.96);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('KDP5WN', 17, 'provide', 'Maintain job his gun office star.', 680.89);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('GM3U9H', 39, 'herself', 'Care glass keep stand.', 1616.78);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('14G38G', 51, 'mean', 'Former dream himself save fish.', 259.84);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('A4S48P', 22, 'exist', 'Close young rather new sister too.', 573.29);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('3VP8SU', 32, 'trial', 'Old evening see after property memory.', 1195.76);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('F8Z6AO', 51, 'analysis', 'Event health point.', 1273.12);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('63UW02', 25, 'without', 'Nature production news property player question game attack.', 1408.51);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('4OBSS5', 4, 'training', 'Third particular child her.', 350.92);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('D5X9RG', 31, 'threat', 'Production rich why control amount.', 1516.35);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('O43U5M', 53, 'former', 'Defense speech bag my series like thank particular.', 86.26);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('FPCH1O', 2, 'heart', 'Care huge on firm.', 630.74);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('909NJ8', 31, 'under', 'Team show she choose player everything time third.', 95.7);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('BYJ273', 45, 'country', 'Language treatment floor whose street.', 1932.99);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('IS7A0I', 10, 'whatever', 'Scientist doctor tree weight pay.', 493.28);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('ZY9EG1', 47, 'approach', 'Local detail cup cell run reduce.', 864.25);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('8EO118', 40, 'democratic', 'Conference see soon force certainly black.', 1376.84);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('7A2SS3', 40, 'remember', 'Woman major prove industry should national.', 851.77);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('7NOZDY', 43, 'drug', 'Guess sea town clearly travel property.', 646.28);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('3MFP0I', 3, 'change', 'Authority recent sport poor give true.', 1529.36);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('94YBIK', 14, 'writer', 'Strategy perhaps piece time every effect.', 246.86);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('FTIX6R', 7, 'edge', 'Message eight themselves rock power late despite almost.', 628.69);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('HJVB9J', 9, 'live', 'Either effect of blood charge clearly hold section.', 443.03);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('40C9P3', 54, 'lot', 'Skill enter poor after.', 884.0);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('V0LIGT', 20, 'large', 'Prepare weight wind.', 893.59);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('I7A7Q8', 43, 'course', 'Dream person base each past agent.', 1462.86);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('167QGW', 41, 'process', 'Let out it condition former fall leave.', 1500.46);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('JZCPH2', 14, 'appear', 'Apply save history technology large need force.', 1530.87);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('400SHT', 40, 'Republican', 'Large glass building your plan black.', 553.57);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('ZGQXRF', 40, 'Mr', 'Claim ask huge prepare appear night listen store.', 416.05);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('LOCI26', 12, 'successful', 'Remember late rather various.', 1000.96);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('2OTUGR', 55, 'chance', 'Very thing reduce my a history glass.', 1425.88);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('R3DDMK', 43, 'international', 'Kitchen cultural section value.', 370.82);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('RBIXDT', 5, 'ground', 'Give mouth current wife.', 982.97);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('AHF54N', 35, 'leader', 'Individual throw century remain authority thank before.', 112.2);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('K7BCZT', 55, 'game', 'Party often off husband exactly.', 929.87);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('JE39VR', 25, 'enough', 'Eye recent it front fill necessary smile.', 946.6);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('HJJXYE', 42, 'environmental', 'Generation system large live next current.', 468.13);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('0JAQR0', 14, 'cell', 'Over serve the whatever ability road Congress.', 1378.43);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('M0AT9C', 12, 'fear', 'Professional market agent science.', 365.45);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('FV2BDA', 38, 'own', 'Method partner many nearly recognize.', 1676.69);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('P7DOOR', 30, 'task', 'Push understand either fish study per.', 720.65);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('0KXVVX', 51, 'various', 'Piece while minute bad now front indicate.', 1275.82);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('PUB9IH', 17, 'score', 'Sea deep seem similar.', 1640.46);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('XZUBJN', 55, 'full', 'Late market cover only not wish word.', 1106.49);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('TW6OT8', 33, 'month', 'Consumer bed many effort fear administration page.', 727.17);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('6DLIYK', 50, 'add', 'Physical movie once anyone gas picture will.', 926.15);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('DJFQKM', 39, 'kid', 'Provide available purpose method suffer stay.', 1285.23);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('5CTLZG', 33, 'protect', 'Majority green describe throw.', 796.8);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('6DWF73', 20, 'education', 'Radio whatever should country lay tree stand.', 1843.53);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('H3CRR7', 50, 'tough', 'Out fish PM director around former.', 662.37);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('Q2VTPL', 13, 'compare', 'Letter owner candidate sometimes you management.', 1284.72);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('F1X9I9', 7, 'or', 'Lot threat summer participant perhaps general agent.', 1918.51);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('L7IMZV', 10, 'same', 'Or brother material bring want.', 248.51);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('7DD7TS', 21, 'public', 'Should provide laugh charge job history win inside.', 134.85);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('0B8OWA', 42, 'relate', 'Daughter smile picture buy.', 1359.22);
INSERT INTO Catalog (product_ref, category_id, model, description, unit_price) VALUES ('NKSQI7', 7, 'skin', 'Finally factor check drive charge couple car.', 396.68);
